classId,name,downloadCount,websiteUrl
6,Just Enough Items (JEI),346412970,https://www.curseforge.com/minecraft/mc-mods/jei
6,Mouse Tweaks,257734146,https://www.curseforge.com/minecraft/mc-mods/mouse-tweaks
6,JourneyMap,236563737,https://www.curseforge.com/minecraft/mc-mods/journeymap
6,Bookshelf,217793324,https://www.curseforge.com/minecraft/mc-mods/bookshelf
6,AppleSkin,217723281,https://www.curseforge.com/minecraft/mc-mods/appleskin
6,Controlling,216549673,https://www.curseforge.com/minecraft/mc-mods/controlling
6,Clumps,188265701,https://www.curseforge.com/minecraft/mc-mods/clumps
6,Mantle,180593199,https://www.curseforge.com/minecraft/mc-mods/mantle
6,Placebo,173348528,https://www.curseforge.com/minecraft/mc-mods/placebo
6,Storage Drawers,171981567,https://www.curseforge.com/minecraft/mc-mods/storage-drawers
6,CraftTweaker,166104079,https://www.curseforge.com/minecraft/mc-mods/crafttweaker
6,Iron Chests,164722837,https://www.curseforge.com/minecraft/mc-mods/iron-chests
6,Quark,162014177,https://www.curseforge.com/minecraft/mc-mods/quark
6,Tinkers Construct,158766206,https://www.curseforge.com/minecraft/mc-mods/tinkers-construct
6,CoFH Core,160653975,https://www.curseforge.com/minecraft/mc-mods/cofh-core
6,AutoRegLib,187859960,https://www.curseforge.com/minecraft/mc-mods/autoreglib
6,Applied Energistics 2,149124366,https://www.curseforge.com/minecraft/mc-mods/applied-energistics-2
6,ConnectedTexturesMod,148848809,https://www.curseforge.com/minecraft/mc-mods/ctm
6,Just Enough Resources (JER),149556925,https://www.curseforge.com/minecraft/mc-mods/just-enough-resources-jer
6,Waystones,148515634,https://www.curseforge.com/minecraft/mc-mods/waystones
6,Chisel,146377784,https://www.curseforge.com/minecraft/mc-mods/chisel
6,Nature's Compass,150420928,https://www.curseforge.com/minecraft/mc-mods/natures-compass
6,Cloth Config API (Fabric/Forge/NeoForge),145582112,https://www.curseforge.com/minecraft/mc-mods/cloth-config
6,Patchouli,148644901,https://www.curseforge.com/minecraft/mc-mods/patchouli
6,Architectury API (Fabric/Forge/NeoForge),142566500,https://www.curseforge.com/minecraft/mc-mods/architectury-api
6,Biomes O' Plenty,141203420,https://www.curseforge.com/minecraft/mc-mods/biomes-o-plenty
6,Cooking for Blockheads,136336083,https://www.curseforge.com/minecraft/mc-mods/cooking-for-blockheads
6,Immersive Engineering,136006420,https://www.curseforge.com/minecraft/mc-mods/immersive-engineering
6,Thermal Foundation,136621515,https://www.curseforge.com/minecraft/mc-mods/thermal-foundation
6,GeckoLib,136668450,https://www.curseforge.com/minecraft/mc-mods/geckolib
6,McJtyLib,133369931,https://www.curseforge.com/minecraft/mc-mods/mcjtylib
6,The Twilight Forest,132000395,https://www.curseforge.com/minecraft/mc-mods/the-twilight-forest
6,Botania,132012067,https://www.curseforge.com/minecraft/mc-mods/botania
6,Better Advancements,131238508,https://www.curseforge.com/minecraft/mc-mods/better-advancements
6,CodeChicken Lib 1.8.+,135240535,https://www.curseforge.com/minecraft/mc-mods/codechicken-lib-1-8
6,Enchantment Descriptions,132991926,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions
6,Curios API (Forge/NeoForge),124534190,https://www.curseforge.com/minecraft/mc-mods/curios
